key	nubKey	scientificName	datasetKey	species	genus	family	order	class	phylum	kingdom	rank	speciesKey	taxonomicStatus	acceptedKey	accepted	locationId	locality	country	status	first_observed	last_observed	establishmentMeans	invasion stage	native range	degree of establishment	habitat	marine	freshwater	terrestrial	source	pathway_level1	pathway_level2	canonicalName
152543136	7190901	Graptemys pseudogeographica pseudogeographica	6d9e952f-948c-4483-9807-575348147c7e		Graptemys	Emydidae	Testudines	Reptilia	Chordata	Animalia	SUBSPECIES		ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2005	2018	INTRODUCED	introduced	North America		freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/148437888: Graptemys pseudogeographica subsp. pseudogeographica (Gray, 1831) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	escape	pet	Graptemys pseudogeographica pseudogeographica
152543136	7190901	Graptemys pseudogeographica pseudogeographica	6d9e952f-948c-4483-9807-575348147c7e		Graptemys	Emydidae	Testudines	Reptilia	Chordata	Animalia	SUBSPECIES		ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2005	2018	INTRODUCED	introduced	North America		freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/148437888: Graptemys pseudogeographica subsp. pseudogeographica (Gray, 1831) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	release	other	Graptemys pseudogeographica pseudogeographica
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e		Trachemys	Emydidae	Testudines	Reptilia	Chordata	Animalia	SUBSPECIES		ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2003	2018	INTRODUCED	introduced	North America		freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/148437886: Trachemys scripta subsp. troostii (Holbrook, 1836) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	escape	pet	Trachemys scripta troostii
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e		Trachemys	Emydidae	Testudines	Reptilia	Chordata	Animalia	SUBSPECIES		ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2003	2018	INTRODUCED	introduced	North America		freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/148437886: Trachemys scripta subsp. troostii (Holbrook, 1836) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	release	other	Trachemys scripta troostii
152543140	6157026	Trachemys scripta elegans (Wied, 1838)	6d9e952f-948c-4483-9807-575348147c7e		Trachemys	Emydidae	Testudines	Reptilia	Chordata	Animalia	SUBSPECIES		ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1975	2018	INTRODUCED	introduced	North America		freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/148437884: Trachemys scripta subsp. elegans (Wied, 1838) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	escape	pet	Trachemys scripta elegans
152543140	6157026	Trachemys scripta elegans (Wied, 1838)	6d9e952f-948c-4483-9807-575348147c7e		Trachemys	Emydidae	Testudines	Reptilia	Chordata	Animalia	SUBSPECIES		ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1975	2018	INTRODUCED	introduced	North America		freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/148437884: Trachemys scripta subsp. elegans (Wied, 1838) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	release	other	Trachemys scripta elegans
152543141	7062200	Trachemys scripta scripta	6d9e952f-948c-4483-9807-575348147c7e		Trachemys	Emydidae	Testudines	Reptilia	Chordata	Animalia	SUBSPECIES		ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2018	2018	INTRODUCED	introduced	North America		freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/148437885: Trachemys scripta subsp. scripta (Schoepff, 1792) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	escape	pet	Trachemys scripta scripta
152543141	7062200	Trachemys scripta scripta	6d9e952f-948c-4483-9807-575348147c7e		Trachemys	Emydidae	Testudines	Reptilia	Chordata	Animalia	SUBSPECIES		ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2018	2018	INTRODUCED	introduced	North America		freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/148437885: Trachemys scripta subsp. scripta (Schoepff, 1792) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	release	other	Trachemys scripta scripta
152543142	2537743	Lentinula edodes (Berk.) Pegler	6d9e952f-948c-4483-9807-575348147c7e	Lentinula edodes	Lentinula	Omphalotaceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	SPECIES	152543142	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2018	2018	INTRODUCED		Eastern Asia (WGSRPD:38)		terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/148437737: Lentinula edodes (Berk.) Pegler in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs			Lentinula edodes
152543147	9350124	Natrix helvetica Lacépède, 1789	6d9e952f-948c-4483-9807-575348147c7e	Natrix helvetica	Natrix	Natricidae	Squamata	Reptilia	Chordata	Animalia	SPECIES	152543147	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1968	2018	INTRODUCED	established	Europe (WGSRPD:1)		freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/148437871: Natrix helvetica Lacépède, 1789 in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	release	conservation	Natrix helvetica
152543147	9350124	Natrix helvetica Lacépède, 1789	6d9e952f-948c-4483-9807-575348147c7e	Natrix helvetica	Natrix	Natricidae	Squamata	Reptilia	Chordata	Animalia	SPECIES	152543147	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1968	2018	INTRODUCED	established	Europe (WGSRPD:1)		freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/148437871: Natrix helvetica Lacépède, 1789 in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	release	landscape_improvement	Natrix helvetica
152543152	2516809	Melampsoridium betulinum (Pers.) Kleb.	6d9e952f-948c-4483-9807-575348147c7e	Melampsoridium betulinum	Melampsoridium	Pucciniastraceae	Pucciniales	Pucciniomycetes	Basidiomycota	Fungi	SPECIES	152543152	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2000	2000	INTRODUCED											Melampsoridium betulinum
152543155	2455523	Orthriophis taeniurus (Cope, 1861)	6d9e952f-948c-4483-9807-575348147c7e	Orthriophis taeniurus	Orthriophis	Colubridae	Squamata	Reptilia	Chordata	Animalia	SPECIES	152543155	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2006	2017	INTRODUCED	established	Asia		terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/148437874: Orthriophis taeniurus (Cope, 1861) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	escape	pet	Orthriophis taeniurus
152543157	2516419	Tranzschelia discolor (Fuckel) Tranzschel & M.A.Litv.	6d9e952f-948c-4483-9807-575348147c7e	Tranzschelia discolor	Tranzschelia	Uropyxidaceae	Pucciniales	Pucciniomycetes	Basidiomycota	Fungi	SPECIES	152543157	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2000	2005	INTRODUCED											Tranzschelia discolor
152543162	7239373	Uromyces veratri (DC.) J.Schröt.	6d9e952f-948c-4483-9807-575348147c7e	Uromyces veratri	Uromyces	Pucciniaceae	Pucciniales	Pucciniomycetes	Basidiomycota	Fungi	SPECIES	152543162	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1852	1852	INTRODUCED											Uromyces veratri
152543163	6159273	Lacerta viridis (Laurenti, 1768)	6d9e952f-948c-4483-9807-575348147c7e	Lacerta viridis	Lacerta	Lacertidae	Squamata	Reptilia	Chordata	Animalia	SPECIES	152543163	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2006	2017	INTRODUCED	introduced	Southern Europe		terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/148437877: Lacerta viridis (Laurenti, 1768) s.l. in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs			Lacerta viridis
152543166	2516117	Gymnosporangium confusum Plowr.	6d9e952f-948c-4483-9807-575348147c7e	Gymnosporangium confusum	Gymnosporangium	Pucciniaceae	Pucciniales	Pucciniomycetes	Basidiomycota	Fungi	SPECIES	152543166	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1879	1882	INTRODUCED											Gymnosporangium confusum
152543167	2516137	Gymnosporangium sabinae (Dicks.) G.Winter	6d9e952f-948c-4483-9807-575348147c7e	Gymnosporangium sabinae	Gymnosporangium	Pucciniaceae	Pucciniales	Pucciniomycetes	Basidiomycota	Fungi	SPECIES	152543167	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1878	2008	INTRODUCED											Gymnosporangium sabinae
152543168	9185677	Podarcis siculus (Rafinesque-schmaltz, 1810)	6d9e952f-948c-4483-9807-575348147c7e	Podarcis siculus	Podarcis	Lacertidae	Squamata	Reptilia	Chordata	Animalia	SPECIES	152543168	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2004	2017	INTRODUCED	introduced	Southern Europe		terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/148437879: Podarcis siculus (Rafinesque-schmaltz, 1810) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs			Podarcis siculus
152543169	2469188	Podarcis muralis (Laurenti, 1768)	6d9e952f-948c-4483-9807-575348147c7e	Podarcis muralis	Podarcis	Lacertidae	Squamata	Reptilia	Chordata	Animalia	SPECIES	152543169	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2004	2018	INTRODUCED	established	Europe (WGSRPD:1)		terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/148437880: Podarcis muralis (Laurenti, 1768) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs			Podarcis muralis
152543171	2516075	Cumminsiella mirabilissima (Peck) Nannf.	6d9e952f-948c-4483-9807-575348147c7e	Cumminsiella mirabilissima	Cumminsiella	Pucciniaceae	Pucciniales	Pucciniomycetes	Basidiomycota	Fungi	SPECIES	152543171	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1996	2004	INTRODUCED											Cumminsiella mirabilissima
152543176	3376286	Puccinia pazschkei Dietel, 1891	6d9e952f-948c-4483-9807-575348147c7e	Puccinia pazschkei	Puccinia	Pucciniaceae	Pucciniales	Pucciniomycetes	Basidiomycota	Fungi	SPECIES	152543176	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1895	1895	INTRODUCED											Puccinia pazschkei
152543178	4344674	Dendrocoelum romanodanubiale (Codreanu, 1949)	6d9e952f-948c-4483-9807-575348147c7e	Dendrocoelum romanodanubiale	Dendrocoelum	Dendrocoelidae	Tricladida	Rhabditophora	Platyhelminthes	Animalia	SPECIES	152543178	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2001	2016	INTRODUCED	established	Ponto-Caspian		freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/140562918: Dendrocoelum romanodanubiale in Boets P, Lock K, Mertens J, Goethals P, Adriaens T, Groom Q, Brosens D, Desmet P, Reyserhove L (2018). Inventory of alien macroinvertebrates in Flanders, Belgium. Version 1.5. Ghent University. Checklist dataset https://doi.org/10.15468/yxcq07	corridor	water	Dendrocoelum romanodanubiale
152543179	3376976	Puccinia grisea (F.Strauss) G.Winter	6d9e952f-948c-4483-9807-575348147c7e	Puccinia grisea	Puccinia	Pucciniaceae	Pucciniales	Pucciniomycetes	Basidiomycota	Fungi	SPECIES	152543179	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT			INTRODUCED											Puccinia grisea
152543181	2515351	Puccinia oxalidis Dietel & Ellis	6d9e952f-948c-4483-9807-575348147c7e	Puccinia oxalidis	Puccinia	Pucciniaceae	Pucciniales	Pucciniomycetes	Basidiomycota	Fungi	SPECIES	152543181	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT			INTRODUCED											Puccinia oxalidis
152543183	2515236	Puccinia antirrhini Dietel & Holw.	6d9e952f-948c-4483-9807-575348147c7e	Puccinia antirrhini	Puccinia	Pucciniaceae	Pucciniales	Pucciniomycetes	Basidiomycota	Fungi	SPECIES	152543183	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1947	1947	INTRODUCED											Puccinia antirrhini
152543184	8740315	Marionfyfea adventor Jones & Sluys, 2016	6d9e952f-948c-4483-9807-575348147c7e	Marionfyfea adventor	Marionfyfea	Geoplanidae	Tricladida	Rhabditophora	Platyhelminthes	Animalia	SPECIES	152543184	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2018	2018	INTRODUCED		New Zealand (WGSRPD:51)		terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/148437723: Marionfyfea adventor Jones & Sluys, 2016 in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	contaminant	habitat_material	Marionfyfea adventor
152543185	2514972	Puccinia komarovii Tranzschel	6d9e952f-948c-4483-9807-575348147c7e	Puccinia komarovii	Puccinia	Pucciniaceae	Pucciniales	Pucciniomycetes	Basidiomycota	Fungi	SPECIES	152543185	DOUBTFUL			ISO_3166-2:BE	Belgium	BE	PRESENT	2009	2009	INTRODUCED											Puccinia komarovii
152543187	2514966	Puccinia sorghi Schwein.	6d9e952f-948c-4483-9807-575348147c7e	Puccinia sorghi	Puccinia	Pucciniaceae	Pucciniales	Pucciniomycetes	Basidiomycota	Fungi	SPECIES	152543187	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1997	1997	INTRODUCED											Puccinia sorghi
152543188	6476666	Caenoplana bicolor (Graff, 1899)	6d9e952f-948c-4483-9807-575348147c7e	Caenoplana bicolor	Caenoplana	Geoplanidae	Tricladida	Rhabditophora	Platyhelminthes	Animalia	SPECIES	152543188	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2015	2017	INTRODUCED	introduced	Australia		terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/148437730: Caenoplana bicolor (Graff, 1899) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	contaminant	habitat_material	Caenoplana bicolor
152543192	2502938	Bipalium kewense Moseley, 1878	6d9e952f-948c-4483-9807-575348147c7e	Bipalium kewense	Bipalium	Geoplanidae	Tricladida	Rhabditophora	Platyhelminthes	Animalia	SPECIES	152543192	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2018	2018	INTRODUCED		Southeast Asia		terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/148437727: Bipalium kewense Moseley, 1878 in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	contaminant	habitat_material	Bipalium kewense
152543197	2513609	Entyloma calendulae (Oudem.) de Bary	6d9e952f-948c-4483-9807-575348147c7e	Entyloma calendulae	Entyloma	Entylomataceae	Entylomatales	Exobasidiomycetes	Basidiomycota	Fungi	SPECIES	152543197	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1900	1902	INTRODUCED				terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/148437750: Entyloma calendulae (Oudem.) de Bary in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs			Entyloma calendulae
152543200	5232428	Chloephaga picta (Gmelin, 1789)	6d9e952f-948c-4483-9807-575348147c7e	Chloephaga picta	Chloephaga	Anatidae	Anseriformes	Aves	Chordata	Animalia	SPECIES	152543200	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1980	2017	INTRODUCED		Southern America (WGSRPD:8)		freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/146042269: Chloephaga picta (Gmelin 1789) in Zieritz A, Gallardo Armas B, Baker S J, Britton R, van Valkenburg J L, Verreycken H, Aldridge D, Desmet P, Reyserhove L (2018). RINSE - Pathways and vectors of biological invasions in Northwest Europe. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/guejza	escape		Chloephaga picta
